"Card Number","Domain","Category","Difficulty","Front","Back"
"1","1 - Fundamentals of AI and ML","AI Term","Beginner","What is overfitting in machine learning?","Overfitting occurs when a model learns the training data too closely, including its noise and outliers. The model performs very well on training data but performs poorly on new, unseen data."
"2","1 - Fundamentals of AI and ML","AI Term","Beginner","What is underfitting in machine learning?","Underfitting occurs when a model is too simple to capture the underlying patterns in the data. The model performs poorly on both the training data and new data."
"3","1 - Fundamentals of AI and ML","AI Term","Beginner","What is supervised learning?","Supervised learning trains a model using labeled data, where each input has a known correct output. The model learns to map inputs to outputs and is commonly used for classification and regression tasks."
"4","1 - Fundamentals of AI and ML","AI Term","Beginner","What is unsupervised learning?","Unsupervised learning trains a model using unlabeled data, with no predefined correct answers. The model identifies hidden patterns or groupings on its own, such as in clustering tasks."
"5","1 - Fundamentals of AI and ML","AI Term","Beginner","What is reinforcement learning?","Reinforcement learning trains an agent to make a sequence of decisions by rewarding desired behaviors and penalizing undesired ones. The agent learns through trial and error to maximize cumulative reward over time."
"6","1 - Fundamentals of AI and ML","AI Term","Beginner","What is a neural network?","A neural network is a computing system loosely inspired by the human brain, made up of layers of interconnected nodes called neurons. It is the foundational structure behind deep learning models."
"7","1 - Fundamentals of AI and ML","AI Term","Beginner","What is a feature in machine learning?","A feature is an individual measurable input variable used by a model to make predictions, such as age, income, or pixel color. Choosing good features strongly affects model performance."
"8","1 - Fundamentals of AI and ML","AI Term","Beginner","What is a label in machine learning?","A label is the known correct answer or output associated with a piece of training data. Labels are required for supervised learning, such as marking an email as spam or not spam."
"9","1 - Fundamentals of AI and ML","AI Term","Intermediate","What is inference in the context of AI/ML?","Inference is the process of using a trained model to generate a prediction or output on new data. It happens after training is complete and the model is deployed."
"10","1 - Fundamentals of AI and ML","AI Term","Intermediate","What is data drift?","Data drift occurs when the statistical properties of incoming data change over time compared to the data the model was trained on. It can cause a deployed model's performance to degrade and often signals a need for retraining."
"11","1 - Fundamentals of AI and ML","AWS Service","Beginner","What is Amazon SageMaker AI?","Amazon SageMaker AI is AWS's comprehensive platform for building, training, and deploying custom machine learning models. It supports the full ML lifecycle from experimentation through production."
"12","1 - Fundamentals of AI and ML","AWS Service","Intermediate","What is Amazon SageMaker Canvas?","Amazon SageMaker Canvas is a visual, no-code interface within the SageMaker AI family that lets business analysts build ML models and generate predictions without writing code."
"13","1 - Fundamentals of AI and ML","AWS Service","Intermediate","What is Amazon SageMaker Ground Truth?","Amazon SageMaker Ground Truth is a data labeling capability within SageMaker AI that helps create accurate labeled datasets using human labelers and automated labeling techniques. High-quality labels are essential for supervised learning."
"14","1 - Fundamentals of AI and ML","AWS Service","Intermediate","What is Amazon SageMaker Clarify?","Amazon SageMaker Clarify is a capability that helps detect bias in datasets and models and provides explainability insights into model predictions. It supports responsible AI practices across the ML lifecycle."
"15","1 - Fundamentals of AI and ML","AWS Service","Beginner","What does Amazon Rekognition do?","Amazon Rekognition is a computer vision service that analyzes images and video to detect objects, faces, text, scenes, and inappropriate content. It also supports custom label detection."
"16","1 - Fundamentals of AI and ML","AWS Service","Beginner","What does Amazon Comprehend do?","Amazon Comprehend is a natural language processing service that analyzes text to detect sentiment, extract entities and key phrases, and classify topics. It works with text that is already in written form."
"17","1 - Fundamentals of AI and ML","AWS Service","Beginner","What does Amazon Textract do?","Amazon Textract extracts printed text, handwriting, and structured data such as form fields and tables from scanned documents and images. It converts visual documents into usable text and data."
"18","1 - Fundamentals of AI and ML","AWS Service","Intermediate","What does Amazon Forecast do?","Amazon Forecast is an ML-based time-series forecasting capability used to predict future values such as product demand, inventory needs, or financial metrics. It is built on forecasting technology used internally at Amazon."
"19","1 - Fundamentals of AI and ML","Comparison","Intermediate","Supervised learning vs. unsupervised learning: what is the key difference?","Supervised learning uses labeled data with known correct answers, while unsupervised learning uses unlabeled data with no known answers. Supervised learning predicts specific outcomes; unsupervised learning discovers hidden patterns or groupings."
"20","1 - Fundamentals of AI and ML","Comparison","Intermediate","Training set vs. validation set vs. test set: what is each used for?","The training set is used to teach the model. The validation set is used during development to tune the model and choose hyperparameters. The test set is used only at the end to evaluate final performance on data the model has never seen."
"21","1 - Fundamentals of AI and ML","Comparison","Intermediate","Classification vs. regression vs. clustering: how do they differ?","Classification predicts a discrete category, such as spam or not spam. Regression predicts a continuous numerical value, such as a price. Clustering groups unlabeled data into natural categories without predefined labels."
"22","1 - Fundamentals of AI and ML","Comparison","Intermediate","Real-time inference vs. batch inference: when is each used?","Real-time inference returns predictions immediately for individual requests, ideal for live applications like fraud detection. Batch inference processes large volumes of data together on a schedule, ideal for non-urgent tasks like generating monthly reports."
"23","1 - Fundamentals of AI and ML","Comparison","Exam-Ready","Overfitting vs. underfitting: how do they differ in cause and symptom?","Overfitting is caused by a model that is too complex or trained too long, resulting in excellent training performance but poor generalization. Underfitting is caused by a model that is too simple, resulting in poor performance on both training and new data."
"24","1 - Fundamentals of AI and ML","Comparison","Exam-Ready","Accuracy vs. precision vs. recall: what does each metric measure?","Accuracy measures the overall percentage of correct predictions. Precision measures how many predicted positives were actually correct. Recall measures how many actual positives the model successfully identified."
"25","1 - Fundamentals of AI and ML","Comparison","Intermediate","AI vs. ML vs. deep learning: how are they related?","AI is the broad field of building systems that simulate intelligent behavior. ML is a subset of AI where systems learn patterns from data instead of being explicitly programmed. Deep learning is a subset of ML that uses multi-layered neural networks to learn from large amounts of data."
"26","1 - Fundamentals of AI and ML","Scenario","Exam-Ready","A company has years of labeled historical data showing which loan applications defaulted. Which learning approach fits predicting default risk for new applicants?","Supervised learning fits this scenario because labeled outcomes already exist. The model can be trained to map applicant features to a default risk prediction."
